Time (ps),Pressure (bar)
576.000000,-855.128601

577.000000,422.238037

578.000000,-1518.718384

579.000000,256.667816

580.000000,-482.248688

581.000000,542.396545

582.000000,-1029.295776

583.000000,-363.734833

584.000000,-25.886557

585.000000,1588.612305

586.000000,108.496742

587.000000,182.256516

588.000000,828.631653

589.000000,445.422241

590.000000,-221.666748

591.000000,-687.975769

592.000000,-427.202362

593.000000,650.916748

594.000000,675.104309

595.000000,-58.022827

596.000000,-852.312805

597.000000,1550.935669

598.000000,-1599.458618

599.000000,892.186768

600.000000,989.061340

601.000000,-1620.035645

602.000000,1469.300415

603.000000,108.132881

604.000000,301.537933

605.000000,1693.268188

606.000000,-226.197586

607.000000,-76.280251

608.000000,-423.488312

609.000000,-197.646500

610.000000,1611.121704

611.000000,720.606018

612.000000,-306.048309

613.000000,-1489.161621

614.000000,77.620750

615.000000,-1447.561890

616.000000,-681.695923

617.000000,345.314667

618.000000,503.660645

619.000000,516.420959

620.000000,520.576477

621.000000,589.534485

622.000000,1274.172729

623.000000,-907.269043

624.000000,562.554382

625.000000,39.334362

626.000000,-530.451965

627.000000,-537.617371

628.000000,-1897.261719

629.000000,-580.650146

630.000000,510.626953

631.000000,316.801025

632.000000,-574.926025

633.000000,-775.528015

634.000000,-531.485779

635.000000,683.956543

636.000000,-850.893005

637.000000,-1490.081543

638.000000,-41.251606

639.000000,-625.952087

640.000000,287.888885

641.000000,-490.311432

642.000000,-1597.614258

643.000000,613.608215

644.000000,-312.112976

645.000000,-2.660360

646.000000,-175.087036

647.000000,-917.862000

648.000000,-641.956482

649.000000,-1050.089111

650.000000,-242.637146

651.000000,-118.633789

652.000000,403.367828

653.000000,-481.450043

654.000000,770.741211

655.000000,660.297668

656.000000,-203.944626

657.000000,-464.604706

658.000000,-1849.704102

659.000000,876.392578

660.000000,238.346970

661.000000,-213.115112

662.000000,1440.931763

663.000000,82.727333

664.000000,-880.271973

665.000000,738.612976

666.000000,-536.354797

